,focal_pid,comparative_pid,focal_score,comparative_score,relation
36174,28989117,16193337,2,5,<
36175,12684873,22567152,5,5,≈
36176,12897128,11756552,8,8,≈
36177,22784486,37181888,10,10,≈
36178,17923222,22802035,9,2,>
36179,24039814,27746872,9,6,>
36180,15277680,19420237,10,8,>
36181,23302894,12904795,8,10,<
36182,11861845,26808276,3,8,<
36183,17846129,34570647,10,9,≈
36184,15564478,11981565,6,10,<
36185,25126161,28936211,1,10,<
36186,28817745,15571533,10,10,≈
36187,24604620,20717858,2,10,<
36188,22349691,18045829,1,2,≈
36189,11435593,7733823,7,1,>
36190,19158787,20028739,10,4,>
36191,28212621,18854033,7,7,≈
36192,23754967,25778913,9,9,≈
36193,16000505,29343690,9,9,≈
36194,26873821,24831587,3,9,<
36195,25983705,11058819,2,10,<
36196,15347796,24232384,10,9,≈
36197,15152344,12372061,8,2,>
36198,23383655,21827730,1,10,<
36199,11259285,8393322,6,10,<
36200,31360157,16232175,1,8,<
36201,16581804,14527416,8,10,<
36202,20107885,33762633,8,10,<
36203,19188394,26666929,8,8,≈
36204,19373442,16495921,1,7,<
36205,33575557,28600868,9,8,≈
36206,24018960,23516569,10,9,≈
36207,32738128,23406984,3,3,≈
36208,23931314,30029604,6,4,>
36209,27274727,18384926,3,8,<
36210,34244468,37116957,10,1,>
36211,17160617,21205675,8,9,≈
36212,15503963,29535597,2,10,<
36213,26680741,25808495,8,8,≈
36214,25655258,37767601,10,2,>
36215,20485677,19456205,7,4,>
36216,21251055,18441113,4,7,<
36217,25552646,27423136,10,7,>
36218,23586846,33910583,8,10,<
36219,16972104,20001111,9,1,>
36220,29237788,27505006,9,5,>
36221,18320324,15247181,2,10,<
36222,19006327,10805777,5,10,<
36223,11564860,10950866,8,10,<
36224,32296769,34480634,10,1,>
36225,34372779,35936032,8,10,<
36226,11927032,11435982,6,5,≈
36227,18397268,32714317,4,10,<
36228,16478996,31182717,3,10,<
36229,31443239,30076291,9,10,≈
36230,12643211,32820468,8,3,>
36231,22479319,30887191,8,8,≈
36232,14533485,16232438,1,2,≈
36233,34868173,17248664,9,5,>
36234,16120760,32344502,10,7,>
36235,34869174,22281535,8,9,≈
36236,18684810,30390301,9,9,≈
36237,23227959,17493196,1,7,<
36238,15618580,20696064,8,4,>
36239,10618075,8258479,7,2,>
36240,19496186,25412597,9,5,>
36241,34460656,26086176,3,9,<
36242,17360321,22505780,9,4,>
36243,16044304,11976367,2,6,<
36244,16203964,21119106,10,9,≈
36245,17846116,32508823,6,10,<
36246,28579640,35379981,10,10,≈
36247,11282970,17079498,9,8,≈
36248,17079574,19372696,9,5,>
36249,29052792,16758486,4,10,<
36250,24992197,31162139,8,9,≈
36251,19251848,14580342,1,10,<
36252,19588889,19382167,3,4,≈
36253,11995770,8757384,1,10,<
36254,17912357,29209933,7,4,>
36255,16831907,11846476,9,4,>
36256,19649139,37490942,10,7,>
36257,14718089,8299763,10,2,>
36258,24523889,22396781,8,7,≈
36259,33558270,28495311,3,10,<
36260,27778096,21466615,1,9,<
36261,32324858,38028529,10,2,>
36262,20218858,16650512,9,8,≈
36263,21077566,27065052,3,2,≈
36264,19079659,12508119,1,10,<
36265,22312439,17412506,10,1,>
36266,29111262,26322373,8,7,≈
36267,22236716,31645554,3,10,<
36268,18927485,37510225,10,3,>
36269,21939859,21044630,7,10,<
36270,37680323,12351377,1,10,<
36271,16791396,2156475,5,10,<
36272,16757612,20513554,9,2,>
36273,18096033,25730714,2,10,<
36274,22890375,22053617,1,3,<
36275,10622770,20846438,8,4,>
36276,27521231,31275307,10,10,≈
36277,29652929,16337719,8,7,≈
36278,11404320,8321195,6,5,≈
36279,28618182,29575742,9,7,>
36280,27827429,28648790,8,4,>
36281,30174876,18422951,3,8,<
36282,26499264,15829981,5,9,<
36283,24799892,22001864,2,10,<
36284,21880230,15983302,5,10,<
36285,16936015,20472787,3,3,≈
36286,11976130,9345772,6,2,>
36287,25192877,17822753,8,9,≈
36288,24516598,35382367,10,1,>
36289,18575738,9879993,2,9,<
36290,19487670,29187984,10,3,>
36291,26362660,29343953,9,4,>
36292,33403336,18096042,1,9,<
36293,33261187,22177329,8,9,≈
36294,16552200,19603224,8,3,>
36295,20587726,30345210,10,1,>
36296,31087068,34858300,9,5,>
36297,32315715,35910734,10,5,>
36298,15767434,24566682,5,1,>
36299,10623774,26038756,2,9,<
36300,26730728,34356186,9,6,>
36301,12885917,17634224,5,4,≈
36302,33517896,25862598,10,5,>
36303,19721432,18445270,10,7,>
36304,21631370,34869100,7,6,≈
36305,25271288,28343363,8,2,>
36306,14605141,23874563,6,5,≈
36307,16227252,2159531,6,7,≈
36308,10781084,9598306,10,3,>
36309,20844053,20093403,5,10,<
36310,25772934,12900578,10,1,>
36311,20701410,23763896,8,4,>
36312,21847123,34374886,10,9,≈
36313,24591732,30169602,9,10,≈
36314,20668922,25713536,2,8,<
36315,11481432,11481430,10,10,≈
36316,20019882,21736763,1,4,<
36317,17558502,12095813,3,8,<
36318,11559591,12101254,10,7,>
36319,15770378,10862196,3,10,<
36320,18690530,15454430,2,7,<
36321,16283377,15299132,7,8,≈
36322,27899614,29946965,10,6,>
36323,17212817,23924154,8,4,>
36324,18042265,7685205,8,9,≈
36325,18654789,20503455,5,6,≈
36326,17459420,25302169,9,4,>
36327,22924073,14967073,1,7,<
36328,26169179,31885401,10,5,>
36329,17496080,15899978,8,10,<
36330,26597190,14618236,1,8,<
36331,32513774,37895248,10,3,>
36332,24137398,21633640,2,8,<
36333,22987898,30934660,1,10,<
36334,25448687,35394697,10,8,>
36335,18854416,14712277,10,10,≈
36336,21293374,19374022,10,2,>
36337,11170305,9559953,10,4,>
36338,21647308,23565065,10,10,≈
36339,11514524,24223316,10,1,>
36340,23643939,19252484,7,10,<
36341,25986010,18193043,5,10,<
36342,25789137,7639074,3,4,≈
36343,12654829,31095603,7,8,≈
36344,30517254,16373636,1,10,<
36345,18821008,25919578,10,8,>
36346,17277062,11748190,3,5,<
36347,25889729,37058246,10,8,>
36348,15618144,17660284,8,5,>
36349,30183611,23242914,1,10,<
36350,11507224,22468146,6,2,>
36351,32149067,14998197,2,1,≈
36352,18230167,16983128,1,10,<
36353,17922259,9680482,2,7,<
36354,10639422,22905277,7,7,≈
36355,15243805,22412937,2,6,<
36356,28830422,33305473,8,9,≈
36357,10945494,1350198,7,3,>
36358,24086323,26885029,8,1,>
36359,26508861,34381144,9,10,≈
36360,20693538,36694906,10,1,>
36361,26830934,19828275,7,3,>
36362,25192877,21565235,8,9,≈
36363,19651585,26527110,10,9,≈
36364,28807106,26871910,9,9,≈
36365,20719353,33789995,8,10,<
36366,19545413,16188468,8,9,≈
36367,19072588,16809201,8,3,>
36368,34030672,31886827,4,10,<
36369,29725406,31905747,4,8,<
36370,20413648,33269187,10,7,>
36371,14612410,35130111,8,10,<
36372,19118010,32870526,10,9,≈
36373,19363161,29593855,9,1,>
36374,29487729,33174956,2,7,<
36375,15741508,16872498,9,7,>
36376,31105541,30627151,7,7,≈
36377,33362608,25451417,6,7,≈
36378,11483759,2032289,3,10,<
36379,24952166,34330185,10,4,>
36380,23073707,37350674,10,2,>
36381,16393335,17924181,9,8,≈
36382,15815011,15042655,6,7,≈
36383,28795244,20299623,2,10,<
36384,17184545,22962390,8,1,>
36385,18854164,19170685,10,7,>
36386,12953804,12391322,1,10,<
36387,22802471,31832844,2,3,≈
36388,16283277,12047024,1,9,<
36389,11880397,11526143,8,8,≈
36390,10823942,28652336,10,10,≈
36391,16049694,3378265,4,2,>
36392,12858007,17609972,5,3,>
36393,34934629,32442394,1,10,<
36394,29147514,31941267,9,10,≈
36395,29788921,30856238,10,10,≈
36396,19570210,25663180,7,6,≈
36397,23911610,31798472,10,8,>
36398,28224314,24184395,1,6,<
36399,20003378,33742015,7,10,<
36400,21998700,24615016,7,4,>
36401,19785760,12646071,2,10,<
36402,23432415,15940630,3,10,<
36403,23559261,31669726,10,5,>
36404,21836772,1523314,1,8,<
36405,24846382,26215258,10,8,>
36406,25150775,35893842,10,10,≈
36407,22241684,29222175,8,3,>
36408,17383677,21177804,9,6,>
36409,17360413,19186131,9,4,>
36410,19398463,30745219,10,9,≈
36411,22966273,8653704,2,10,<
36412,19457491,14506719,5,8,<
36413,34533614,35463333,1,10,<
36414,28419874,32162104,9,7,>
36415,35492481,30034761,2,10,<
36416,16049296,2578078,2,9,<
36417,36329475,30058937,1,10,<
36418,15322005,32131463,8,9,≈
36419,30086395,34304036,8,10,<
36420,19815523,18425122,9,10,≈
36421,18803825,17679678,8,9,≈
36422,23856324,35582314,6,10,<
36423,16815952,19381642,7,6,≈
36424,12841536,2627753,3,2,≈
36425,38107180,31108873,4,10,<
36426,20360771,23576004,9,1,>
36427,27936440,31485896,6,10,<
36428,28739201,33445189,10,6,>
36429,23487569,12375618,1,3,<
36430,11119543,29287987,8,6,>
36431,17112675,24068758,8,3,>
36432,16344559,24939876,10,10,≈
36433,32794368,9338728,5,4,≈
36434,33120002,23040524,1,10,<
36435,17482333,16185678,4,7,<
36436,12240902,1814653,2,2,≈
36437,16450054,15504050,1,3,<
36438,24179708,10940510,6,7,≈
36439,26085947,21677771,1,7,<
36440,26568560,34797322,10,9,≈
36441,32848867,9015458,10,9,≈
36442,20385808,7714555,9,2,>
36443,12783144,10229019,4,3,≈
36444,11837987,22964297,1,8,<
36445,19170459,18023871,7,6,≈
36446,30869027,28438608,6,5,≈
36447,29085319,29618995,6,6,≈
36448,29907141,26206387,4,9,<
36449,14766587,32053597,10,10,≈
36450,27558950,27089306,6,5,≈
36451,16518652,8939240,1,8,<
36452,24092053,23665277,4,8,<
36453,16352533,14745017,7,10,<
36454,12895400,10512933,1,9,<
36455,11333214,9705264,4,3,≈
36456,18540046,26313809,10,6,>
36457,10747162,23554202,7,6,≈
36458,19440326,22733609,10,6,>
36459,26293005,28387837,10,3,>
36460,22390856,7576202,7,2,>
36461,17163280,1644490,2,3,≈
36462,27013889,25380654,2,9,<
36463,16125647,36757898,2,10,<
36464,12208958,1707567,7,6,≈
36465,23085756,23727046,9,4,>
36466,25550518,22498240,10,8,>
36467,18656625,16128625,8,2,>
36468,17270400,23385624,8,5,>
36469,25349740,28690654,2,3,≈
36470,22417969,37575460,9,2,>
36471,20372926,23851730,6,5,≈
36472,21685280,30147679,3,10,<
36473,28034750,21117705,3,10,<
36474,29497928,10717106,2,8,<
36475,17323134,12106925,3,10,<
36476,17350995,21943414,5,4,≈
36477,28874817,33116840,10,7,>
36478,28642653,35615638,1,10,<
36479,11291832,33064276,4,9,<
36480,11050156,32392797,10,9,≈
36481,14517326,12021770,6,10,<
36482,12427987,16228392,9,4,>
36483,12853575,14517330,10,5,>
36484,19787413,23138262,6,5,≈
36485,29910999,22668850,1,10,<
36486,11762699,34088669,4,10,<
36487,21216993,21098666,8,10,<
36488,29183318,32814352,6,1,>
36489,23806081,37876037,10,8,>
36490,11274436,10196270,9,8,≈
36491,20220079,16687616,4,5,≈
36492,11523827,26336645,6,7,≈
36493,17351102,15643941,6,7,≈
36494,21607693,19411600,2,10,<
36495,19356760,18045965,7,10,<
36496,29119356,27348558,2,5,<
36497,22433223,10428732,6,10,<
36498,15606612,12379718,2,6,<
36499,11303696,10554684,2,2,≈
36500,17519389,26104084,10,4,>
36501,22336707,11030620,7,10,<
36502,11749879,2401621,2,5,<
36503,12356216,499263,2,4,<
36504,23927577,27648475,10,5,>
36505,11481501,11729146,9,4,>
36506,25593060,29867745,10,7,>
36507,16641435,20525206,9,6,>
36508,31262826,34351235,10,1,>
36509,12190111,10627507,3,8,<
36510,27465581,21161352,3,4,≈
36511,31333250,23049106,4,4,≈
36512,20401607,19864633,9,10,≈
36513,18003797,25283442,9,5,>
36514,12761148,12174083,7,6,≈
36515,17179089,31544799,9,1,>
36516,10655523,25737207,9,7,>
36517,15900491,15665097,7,10,<
36518,19804738,15133147,6,10,<
36519,15338170,1994400,1,9,<
36520,12839046,9180124,2,10,<
36521,18552233,13677473,8,8,≈
36522,15753315,22215736,10,8,>
36523,33664900,19195605,1,10,<
36524,27773672,8423818,10,3,>
36525,18066684,16773635,2,9,<
36526,29857494,37226278,10,9,≈
36527,10859167,12644676,10,9,≈
36528,17457610,11894036,1,9,<
36529,30104676,17435304,8,4,>
36530,18727837,36949577,10,4,>
36531,32038248,37954102,10,1,>
36532,20585391,21393331,8,9,≈
36533,18957937,20668092,10,8,>
36534,16463032,9350810,1,10,<
36535,21710527,32092855,5,10,<
36536,11209059,11792855,8,7,≈
36537,11035786,18420182,9,2,>
36538,12475934,26996833,10,10,≈
36539,26137083,18337594,1,10,<
36540,17991469,28321260,9,3,>
36541,17447017,15767618,7,10,<
36542,11413330,33836586,6,10,<
36543,15547266,16484192,6,6,≈
36544,15220437,21862095,5,1,>
36545,24966084,17026375,3,4,≈
36546,10992524,14595106,8,5,>
36547,22526570,28567031,3,8,<
36548,25884426,26769101,10,6,>
36549,19021713,26566980,2,8,<
36550,20160897,19154178,2,8,<
36551,31380040,32371888,8,8,≈
36552,33734521,33734521,9,9,≈
36553,11973325,7581446,1,10,<
36554,15316117,3720659,9,3,>
36555,21470430,24330574,9,3,>
36556,24339329,20737560,8,9,≈
36557,29479200,19948614,2,9,<
36558,20878278,28735706,8,9,≈
36559,25068457,30982371,10,4,>
36560,20484940,12728143,4,9,<
36561,33963014,36943658,10,3,>
36562,28428745,21998667,7,9,<
36563,10655421,8784584,7,8,≈
36564,31603939,32523510,10,9,≈
36565,26944678,30646895,10,3,>
36566,25804208,30079352,7,5,>
36567,29536592,34632538,10,4,>
36568,31071152,28873417,10,10,≈
36569,30930994,32059197,8,10,<
36570,26314815,17002703,3,10,<
36571,21931637,15342139,6,3,>
36572,31748574,29574917,9,8,≈
36573,23649773,16009939,3,10,<
36574,24335048,20831630,4,10,<
36575,20814543,37999468,7,7,≈
36576,20712018,35874692,9,10,≈
36577,28462332,35310325,10,7,>
36578,24109591,21984255,7,8,≈
36579,19398463,30667476,10,10,≈
36580,10677482,11983888,9,9,≈
36581,15140990,17116172,8,9,≈
36582,14735294,20157852,1,7,<
36583,23345294,1624579,4,5,≈
36584,15254374,32353747,3,10,<
36585,17893129,27736781,5,4,≈
36586,33650743,36741105,10,1,>
36587,14629780,15357878,8,8,≈
36588,26603653,34155286,10,9,≈
36589,35085692,26999300,7,8,≈
36590,12429839,8898361,6,7,≈
36591,14757818,23338945,10,9,≈
36592,21248273,19562611,10,3,>
36593,33854730,36511027,9,1,>
36594,12098041,9496317,4,1,>
36595,29877124,32012656,8,9,≈
36596,35022731,23035802,10,10,≈
36597,22793366,27053949,9,8,≈
36598,24377067,16649892,3,9,<
36599,16952943,3017794,4,7,<
36600,15894631,12660775,6,10,<
36601,21271726,19072121,3,4,≈
36602,33876334,32858580,2,10,<
36603,26305216,32438605,7,8,≈
36604,18791249,17196041,2,10,<
36605,16881943,19665860,8,7,≈
36606,27462411,33929014,10,7,>
36607,30523520,35332371,10,7,>
36608,26191033,31515732,8,10,<
36609,15060827,20956298,9,10,≈
36610,28078319,37443096,10,4,>
36611,19521480,20718953,2,8,<
36612,16847351,10943844,10,10,≈
36613,25691755,9925316,7,2,>
36614,23934048,25451972,10,1,>
36615,24240671,27551892,6,2,>
36616,11861847,10890918,6,10,<
36617,24996989,3763891,2,9,<
36618,24527082,27123276,4,1,>
36619,17518509,28163500,6,1,>
36620,19460953,12199306,2,8,<
36621,20463071,9774103,6,10,<
36622,15239393,12842979,1,10,<
36623,32435933,15187523,6,10,<
36624,15979657,31233497,5,6,≈
36625,35280648,32665858,1,10,<
36626,27279614,27170752,6,7,≈
36627,25143579,32374748,8,7,≈
36628,22982083,25477769,9,8,≈
36629,17337585,17586642,9,8,≈
36630,18166354,14724818,10,10,≈
36631,30337034,25153531,5,10,<
36632,24091890,20374395,9,9,≈
36633,34476226,32013204,1,10,<
36634,15162940,32612327,9,1,>
36635,30546352,16672496,8,9,≈
36636,20233423,20030834,7,6,≈
36637,20614854,26236241,9,5,>
36638,25874116,31131246,4,4,≈
36639,17376196,10331393,6,10,<
36640,14612416,32661235,5,10,<
36641,11170888,34899149,10,1,>
36642,30643017,33409252,10,6,>
36643,18065547,22184412,2,5,<
36644,28074918,30034393,8,9,≈
36645,20177497,28198554,1,7,<
36646,15112342,10551471,3,4,≈
36647,27739903,38111971,10,4,>
36648,26702363,20403936,2,10,<
36649,15550774,19321610,1,6,<
36650,26246882,18538515,3,4,≈
36651,15710045,37153512,8,1,>
36652,25030187,21827459,5,4,≈
36653,26244761,19324270,6,7,≈
36654,25765216,26897486,9,8,≈
36655,23667311,29027946,7,7,≈
36656,33092561,26123460,3,2,≈
36657,25420930,33841102,10,9,≈
36658,32882790,32973826,9,10,≈
36659,16385450,20884664,10,8,>
36660,35516586,31631656,2,9,<
36661,32650664,37475645,10,8,>
36662,10919995,9514715,7,10,<
36663,15472320,2229374,6,7,≈
36664,25158237,14675537,6,10,<
36665,18594981,17170018,2,10,<
36666,15949042,38033156,8,10,<
36667,12475943,11439182,8,10,<
36668,14512545,22200497,8,5,>
36669,21119891,27384229,3,8,<
36670,18366637,26865935,6,1,>
36671,29600187,24428936,2,5,<
36672,23343188,28523039,6,2,>
36673,17160587,23842962,8,8,≈
36674,31345240,37608334,10,2,>
36675,17993548,32582258,10,9,≈
36676,20163707,21599999,7,6,≈
36677,12239285,10074164,8,8,≈
36678,15454077,18689473,10,5,>
36679,11171987,31966487,10,1,>
36680,16428795,12181569,3,10,<
36681,33750777,37745687,10,8,>
36682,21298349,23517143,9,5,>
36683,34494935,19630576,1,10,<
36684,15875172,12699476,2,6,<
36685,31720248,30028518,2,10,<
36686,12391314,12975612,9,1,>
36687,12208964,20930940,8,3,>
36688,11114175,32578970,10,3,>
36689,17071810,16209968,2,6,<
36690,22674980,17581997,7,8,≈
36691,26655023,31204053,8,3,>
36692,29785590,37087474,8,2,>
36693,29150648,31452971,9,4,>
36694,18663435,24414221,1,9,<
36695,16362320,15194823,8,10,<
36696,19582164,23762792,6,7,≈
36697,21518983,32352228,10,9,≈
36698,23649759,16651429,4,10,<
36699,23075291,16624404,10,2,>
36700,27170256,24935155,3,9,<
36701,21810102,25003123,3,4,≈
36702,17435235,36319787,10,1,>
36703,22548323,20580052,5,6,≈
36704,29488900,25533966,3,10,<
36705,35663752,33718551,10,3,>
36706,31020003,19362875,9,7,>
36707,20541955,20965175,10,5,>
36708,11103163,9737449,1,4,<
36709,33853554,20403541,5,1,>
36710,29311837,28459451,8,10,<
36711,32951986,34097505,10,7,>
36712,17893131,16481545,5,9,<
36713,22778100,16949362,7,10,<
36714,12080126,29284062,3,7,<
36715,27734334,20359774,9,8,≈
36716,15528700,23825668,6,5,≈
36717,30233209,33572894,6,9,<
36718,22321443,25186614,10,9,≈
36719,31834887,36915364,10,8,>
36720,18791043,23437208,9,8,≈
36721,17652377,7503685,7,1,>
36722,24372669,12445677,8,9,≈
36723,20016375,31966574,9,1,>
36724,18485753,32949557,7,6,≈
36725,15767425,19464721,8,4,>
36726,27512650,30288444,7,3,>
36727,15367589,8794318,6,6,≈
36728,11102385,37749487,8,2,>
36729,17164335,22215952,9,4,>
36730,19003398,9425227,1,8,<
36731,18636670,27020308,6,1,>
36732,19343526,19266472,2,8,<
36733,17637916,15496543,9,8,≈
36734,11553563,11179291,6,6,≈
36735,27324572,35990745,10,2,>
36736,23179130,16001076,2,10,<
36737,32128432,19708030,4,8,<
36738,21474074,22876257,10,2,>
36739,15580485,20043148,2,2,≈
36740,11585537,17192305,10,9,≈
36741,23372778,32793574,9,8,≈
36742,12186898,11083661,7,8,≈
36743,29036633,38139141,10,4,>
36744,23671797,18786416,1,10,<
36745,24410341,22950514,7,8,≈
36746,21734830,12391297,2,10,<
36747,11050213,35037743,10,10,≈
36748,14673174,9843950,8,10,<
36749,12379622,12946278,10,3,>
36750,17338829,10918161,6,9,<
36751,29682503,30342885,7,2,>
36752,20334701,12042811,4,10,<
36753,27009101,35524233,10,7,>
36754,24140566,18761427,9,2,>
36755,11204452,33998248,4,10,<
36756,35233706,37187484,10,3,>
36757,19436829,15205355,1,10,<
36758,28183292,26455322,8,9,≈
36759,23584778,19439549,6,8,<
36760,15785932,12663358,3,10,<
36761,11201797,7863261,3,4,≈
36762,27867514,35117206,8,1,>
36763,26764912,31672736,10,1,>
36764,20459830,28202465,8,3,>
36765,23728592,28004358,10,2,>
36766,18586825,12237116,10,3,>
36767,28104983,32523309,9,8,≈
36768,12438622,30060453,4,10,<
36769,20827420,18165557,2,9,<
36770,27824903,31464930,8,2,>
36771,26379051,28824564,8,6,>
36772,16622243,31036690,4,10,<
36773,17851771,12779117,2,3,≈
36774,11119517,12197890,7,4,>
36775,19753157,8168320,2,7,<
36776,23059956,36777291,10,2,>
36777,17344287,16966399,8,8,≈
36778,32198415,38072928,10,4,>
36779,10757545,9542967,2,6,<
36780,23144766,12115646,4,5,≈
36781,19093662,8617895,1,10,<
36782,17944878,25322895,4,1,>
36783,17947446,15592404,5,10,<
36784,30429889,27590740,10,10,≈
36785,15265233,12544262,2,1,≈
36786,19093785,15322537,1,10,<
36787,12844283,17541577,8,1,>
36788,12796585,21160721,4,1,>
36789,11353844,20499837,9,2,>
36790,29127283,25733685,10,4,>
36791,25986930,30719047,10,8,>
36792,25906166,23977125,7,6,≈
36793,11403503,9852880,2,10,<
36794,15359581,2895003,2,3,≈
36795,20351774,27379574,10,10,≈
36796,18593882,22222486,10,6,>
36797,16865091,29383691,9,8,≈
36798,10982825,7768429,6,7,≈
36799,16284270,16113083,8,10,<
36800,21399921,7984417,2,10,<
36801,18775514,29897452,6,5,≈
36802,27342811,15796747,4,4,≈
36803,24672796,35494480,3,8,<
36804,10909973,12021195,8,6,>
36805,10775594,15767423,7,6,≈
36806,26153419,7705636,10,4,>
36807,17216240,15013741,3,7,<
36808,18249041,24475099,4,6,<
36809,14971648,11578149,1,8,<
36810,15240462,11222285,6,5,≈
36811,11844761,10931293,7,7,≈
36812,27555819,24523037,5,10,<
36813,26811476,32426804,10,7,>
36814,31045821,29049074,4,9,<
36815,21723309,21438623,6,5,≈
36816,19513115,20184757,6,4,>
36817,19229345,27357191,3,9,<
36818,21452897,19276346,6,9,<
36819,30341516,32916844,3,8,<
36820,11796624,32353058,4,10,<
36821,23671841,17594509,2,10,<
36822,16391033,14701903,7,10,<
36823,15238532,18779987,5,3,>
36824,12455736,3662081,2,7,<
36825,28299162,22273662,1,10,<
36826,25337788,34760163,10,10,≈
36827,16332838,21829630,2,6,<
36828,28938422,25550522,8,10,<
36829,26742120,33603659,9,5,>
36830,11694598,17483522,1,9,<
36831,21211049,33456586,9,10,≈
36832,24384995,31306442,8,7,≈
36833,14731304,11557978,9,10,≈
36834,25896785,8455963,4,10,<
36835,17453260,29118889,2,2,≈
36836,24058516,17045506,7,3,>
36837,16254368,23843953,7,7,≈
36838,32298656,30202057,10,10,≈
36839,25222616,24481810,5,4,≈
36840,32287970,32287994,9,9,≈
36841,18752675,25008314,3,7,<
36842,19393009,19682206,9,9,≈
36843,28932763,28647573,1,7,<
36844,26634656,28212617,8,4,>
36845,25140416,20559557,3,5,<
36846,24349264,25062918,5,3,>
36847,15963732,19003005,10,2,>
36848,12511502,11677608,8,10,<
36849,16885446,12791139,7,8,≈
36850,26599280,22085842,9,10,≈
36851,25687187,11746568,6,7,≈
36852,22761801,37654674,8,4,>
36853,30550582,32284525,8,1,>
36854,17851030,26738804,4,8,<
36855,16162670,19346684,10,3,>
36856,17241108,23748565,1,9,<
36857,29214133,30147156,4,1,>
36858,15286296,15286290,8,8,≈
36859,17571083,12710947,9,3,>
36860,16941089,10478261,8,9,≈
36861,16287862,11898023,8,10,<
36862,19587100,21532834,9,2,>
36863,23894615,19543394,5,6,≈
36864,25855339,24029015,3,10,<
36865,17367590,15157710,3,10,<
36866,12746550,22759648,2,7,<
36867,12671008,10050277,9,1,>
36868,33742026,25237175,8,7,≈
36869,26265184,27186264,10,1,>
36870,26194891,27732870,9,8,≈
36871,29910724,35503584,10,1,>
36872,24756458,37817094,8,10,<
36873,12021352,21221132,9,10,≈
36874,19846802,22790791,10,2,>
36875,18025467,27143046,10,9,≈
36876,25886947,1959189,1,10,<
36877,12134056,18789154,10,5,>
36878,30356225,26378456,4,9,<
36879,11292744,10565920,5,10,<
36880,25619881,28624317,7,6,≈
36881,28674048,34054749,10,9,≈
36882,22389117,19833255,8,10,<
36883,32959052,35577569,10,5,>
36884,11076716,30201055,9,8,≈
36885,19544144,16718704,1,10,<
36886,11790750,1435258,5,6,≈
36887,10961700,9824144,4,3,≈
36888,26649216,2584431,1,5,<
36889,15964808,15610737,5,10,<
36890,29102991,31709217,8,8,≈
36891,16740927,8759855,3,4,≈
36892,21592404,26622718,7,5,>
36893,18044991,19168341,10,10,≈
36894,15017141,2184942,3,10,<
36895,23211897,34272835,7,6,≈
36896,17620008,24361428,1,10,<
36897,23151163,31145733,10,9,≈
36898,27280630,35524214,10,10,≈
36899,25452654,16582034,9,10,≈
36900,27011355,30705893,10,5,>
36901,20498076,34371754,10,10,≈
36902,22821192,21228901,2,6,<
36903,27501980,32218777,5,10,<
36904,27655045,16764829,3,3,≈
36905,16911805,11389894,6,1,>
36906,24831702,31147459,10,10,≈
36907,20737198,36973820,8,10,<
36908,24817879,21376301,8,10,<
36909,18794351,21346316,10,3,>
36910,25961151,34289528,10,9,≈
36911,12446626,8168935,5,7,<
36912,12904862,26200880,9,4,>
36913,11687614,17513360,8,4,>
36914,29507231,15035632,10,2,>
36915,16018240,12909497,1,7,<
36916,15166139,14704159,6,7,≈
36917,10797611,24615250,3,4,≈
36918,28240266,29706865,10,8,>
36919,12841386,10396290,1,3,<
36920,28400505,28400505,3,3,≈
36921,17635865,16552030,6,7,≈
36922,37565610,26088259,9,1,>
36923,15322001,10954745,8,10,<
36924,34325019,29766134,8,3,>
36925,28158243,31106657,9,8,≈
36926,11005869,22211846,10,3,>
36927,15121897,16354702,9,3,>
36928,29666228,36077464,10,6,>
36929,16537806,21755057,10,1,>
36930,11318083,10843981,2,10,<
36931,17040123,28031787,9,3,>
36932,14522950,21705751,9,5,>
36933,21815635,12729738,3,8,<
36934,14963165,16948865,10,6,>
36935,25140119,23957019,5,5,≈
36936,24416317,27270276,5,6,≈
36937,16457645,10545991,6,10,<
36938,23861489,25037568,10,6,>
36939,22220644,20050857,9,9,≈
36940,21895796,26283772,7,6,≈
36941,18508942,28749939,8,7,≈
36942,19040181,16740164,3,8,<
36943,28182725,36505981,9,1,>
36944,17924106,11965263,3,3,≈
36945,17903700,17086187,6,10,<
36946,11478511,14684569,1,10,<
36947,12423304,17594529,7,3,>
36948,24744506,18562325,6,10,<
36949,19307190,25979919,8,7,≈
36950,24523889,22541504,8,7,≈
36951,29339767,31181772,10,10,≈
36952,20713738,29616558,10,4,>
36953,18391192,28374949,10,9,≈
36954,32493445,36177179,10,5,>
36955,25170271,22236883,4,9,<
36956,16352864,23589695,10,3,>
36957,17490436,9256419,1,10,<
36958,31312949,24696297,1,10,<
36959,27522091,29026111,7,6,≈
36960,26490144,33738178,9,9,≈
36961,35172300,25194937,9,10,≈
36962,12446626,10973700,5,9,<
36963,12435700,19175936,8,5,>
36964,11768758,7566122,4,10,<
36965,11477120,9308731,4,4,≈
36966,27352802,37052878,10,8,>
36967,10920004,1710173,7,10,<
36968,27843125,22901946,9,10,≈
36969,20865250,20695762,5,7,<
36970,29322198,34716603,10,6,>
36971,20842545,18678769,1,10,<
36972,28584254,29449433,10,9,≈
36973,18497563,37901880,10,1,>
36974,19654312,24559208,10,4,>
36975,18188661,22707678,4,1,>
36976,24939741,33952533,4,10,<
36977,15905407,28137949,9,4,>
36978,16010984,15350825,2,5,<
36979,23455594,31106112,8,2,>
